Data;Godzina;Minuty;Wolumen
2002-01-15;12;0;19982.90
2002-01-15;14;0;19744.00
2002-01-15;16;0;19821.70
2002-01-15;18;0;21201.90
2002-01-15;20;0;20984.40
2002-01-15;22;0;19022.20
2002-01-15;24;0;16799.50
2002-01-16;2;0;17297.40
2002-01-16;4;0;17456.70
2002-01-16;6;0;18179.90
2002-01-16;8;0;20117.20
2002-01-16;10;0;20299.50
2002-01-16;12;0;20289.90
2002-01-16;14;0;19824.60
2002-01-16;16;0;19929.30
2002-01-16;18;0;21390.90
2002-01-16;20;0;21072.70
2002-01-16;22;0;19341.30
2002-01-16;24;0;17652.00
2002-01-17;2;0;17004.00
2002-01-17;4;0;17574.90
2002-01-17;6;0;18610.00
2002-01-17;8;0;20235.00
2002-01-17;10;0;20577.20
2002-01-17;12;0;20655.50
2002-01-17;14;0;20220.10
2002-01-17;16;0;20416.30
2002-01-17;18;0;21240.20
2002-01-17;20;0;21036.40
2002-01-17;22;0;19048.50
2002-01-17;24;0;17551.40
2002-01-18;2;0;17417.30
2002-01-18;4;0;17579.10
2002-01-18;6;0;17682.80
2002-01-18;8;0;19709.60
2002-01-18;10;0;19928.40
2002-01-18;12;0;19928.90
2002-01-18;14;0;19700.70
2002-01-18;16;0;19652.60
2002-01-18;18;0;21138.70
2002-01-18;20;0;20709.50
2002-01-18;22;0;18840.10
2002-01-18;24;0;17105.20
2002-01-19;2;0;16708.00
2002-01-19;4;0;16901.90
2002-01-19;6;0;16662.00
2002-01-19;8;0;17039.20
2002-01-19;10;0;17985.10
2002-01-19;12;0;18104.20
2002-01-19;14;0;18157.90
2002-01-19;16;0;18138.70
2002-01-19;18;0;19635.80
2002-01-19;20;0;19052.50
2002-01-19;22;0;17497.30
2002-01-19;24;0;15686.70
2002-01-20;2;0;14825.60
2002-01-20;4;0;14821.80
2002-01-20;6;0;14771.20
2002-01-20;8;0;15050.90
2002-01-20;10;0;15076.60
2002-01-20;12;0;15487.50
2002-01-20;14;0;15605.30
2002-01-20;16;0;15603.30
2002-01-20;18;0;17248.40
2002-01-20;20;0;17497.00
2002-01-20;22;0;16667.10
2002-01-20;24;0;15061.50
2002-01-21;2;0;14762.10
2002-01-21;4;0;15284.90
2002-01-21;6;0;16648.70
2002-01-21;8;0;18772.70
2002-01-21;10;0;19342.30
2002-01-21;12;0;19819.50
2002-01-21;14;0;19603.80
2002-01-21;16;0;19513.70
2002-01-21;18;0;20345.80
2002-01-21;20;0;19929.30
2002-01-21;22;0;18290.10
2002-01-21;24;0;16251.80
2002-01-22;2;0;16364.20
2002-01-22;4;0;16217.60
2002-01-22;6;0;16655.70
2002-01-22;8;0;18603.50
2002-01-22;10;0;18925.80
2002-01-22;12;0;18996.50
2002-01-22;14;0;18443.10
2002-01-22;16;0;18345.00
2002-01-22;18;0;20149.10
2002-01-22;20;0;19953.30
2002-01-22;22;0;17941.40
2002-01-22;24;0;16610.60
2002-01-23;2;0;16054.40
2002-01-23;4;0;15941.60
2002-01-23;6;0;17002.80
2002-01-23;8;0;18465.60
2002-01-23;10;0;18642.30
2002-01-23;12;0;18832.60
2002-01-23;14;0;18428.10
2002-01-23;16;0;18357.90
2002-01-23;18;0;20163.90
2002-01-23;20;0;19774.50
2002-01-23;22;0;17993.20
2002-01-23;24;0;15800.90
2002-01-24;2;0;15704.80
2002-01-24;4;0;16036.40
2002-01-24;6;0;16792.80
2002-01-24;8;0;18484.70
2002-01-24;10;0;18733.60
2002-01-24;12;0;19026.60
2002-01-24;14;0;18712.20
2002-01-24;16;0;18650.60
2002-01-24;18;0;19950.20
2002-01-24;20;0;19741.80
2002-01-24;22;0;17928.70
2002-01-24;24;0;16163.30
2002-01-25;2;0;16231.40
2002-01-25;4;0;16092.20
2002-01-25;6;0;16351.80
2002-01-25;8;0;18249.50
2002-01-25;10;0;18651.00
2002-01-25;12;0;18719.60
2002-01-25;14;0;18620.80
2002-01-25;16;0;18496.40
2002-01-25;18;0;20179.70
2002-01-25;20;0;19743.60
2002-01-25;22;0;17526.20
2002-01-25;24;0;16025.50
2002-01-26;2;0;15938.30
2002-01-26;4;0;15654.80
2002-01-26;6;0;15725.00
2002-01-26;8;0;15708.70
2002-01-26;10;0;17052.30
2002-01-26;12;0;17563.50
2002-01-26;14;0;17354.40
2002-01-26;16;0;17139.40
2002-01-26;18;0;18670.20
2002-01-26;20;0;18035.80
2002-01-26;22;0;16584.20
2002-01-26;24;0;14818.20
2002-01-27;2;0;13626.80
2002-01-27;4;0;14141.30
2002-01-27;6;0;13999.30
2002-01-27;8;0;14090.00
2002-01-27;10;0;14540.40
2002-01-27;12;0;15042.00
2002-01-27;14;0;14870.80
2002-01-27;16;0;14790.50
2002-01-27;18;0;16464.60
2002-01-27;20;0;16684.80
2002-01-27;22;0;15645.30
2002-01-27;24;0;14557.30
2002-01-28;2;0;14167.30
2002-01-28;4;0;14410.30
2002-01-28;6;0;15789.70
2002-01-28;8;0;17777.50
2002-01-28;10;0;18454.50
2002-01-28;12;0;18934.90
2002-01-28;14;0;18643.00
2002-01-28;16;0;18224.70
2002-01-28;18;0;19417.50
2002-01-28;20;0;18850.00
2002-01-28;22;0;16677.00
2002-01-28;24;0;15989.80
2002-01-29;2;0;15316.80
2002-01-29;4;0;15106.30
2002-01-29;6;0;15631.10
2002-01-29;8;0;17106.90
2002-01-29;10;0;17657.50
2002-01-29;12;0;18298.60
2002-01-29;14;0;18032.40
2002-01-29;16;0;17735.40
2002-01-29;18;0;19461.20
2002-01-29;20;0;19125.80
2002-01-29;22;0;17217.20
2002-01-29;24;0;15939.70
2002-01-30;2;0;15161.20
2002-01-30;4;0;15285.90
2002-01-30;6;0;16135.00
2002-01-30;8;0;17841.50
2002-01-30;10;0;18120.90
2002-01-30;12;0;18327.90
2002-01-30;14;0;17728.20
2002-01-30;16;0;17292.20
2002-01-30;18;0;19436.30
2002-01-30;20;0;19104.90
2002-01-30;22;0;17441.40
2002-01-30;24;0;16256.50
2002-01-31;2;0;15322.20
2002-01-31;4;0;15412.30
2002-01-31;6;0;16116.70
2002-01-31;8;0;17683.60
2002-01-31;10;0;17938.70
2002-01-31;12;0;18183.10
2002-01-31;14;0;17683.40
2002-01-31;16;0;17286.30
2002-01-31;18;0;18633.10
2002-01-31;20;0;18753.70
2002-01-31;22;0;16853.10
2002-01-31;24;0;15892.10
2002-02-01;2;0;15298.70
2002-02-01;4;0;15242.30
2002-02-01;6;0;15932.60
2002-02-01;8;0;17413.40
2002-02-01;10;0;17684.10
2002-02-01;12;0;18000.40
2002-02-01;14;0;17535.80
2002-02-01;16;0;17446.90
2002-02-01;18;0;19236.30
2002-02-01;20;0;18937.30
2002-02-01;22;0;17280.80
2002-02-01;24;0;15599.10
2002-02-02;2;0;14971.40
2002-02-02;4;0;14885.30
2002-02-02;6;0;14738.00
2002-02-02;8;0;15308.60
2002-02-02;10;0;15704.30
2002-02-02;12;0;15738.20
2002-02-02;14;0;15314.70
2002-02-02;16;0;14972.50
2002-02-02;18;0;17477.00
2002-02-02;20;0;17156.00
2002-02-02;22;0;15514.10
2002-02-02;24;0;14001.30
2002-02-03;2;0;13179.80
2002-02-03;4;0;13254.40
2002-02-03;6;0;13425.50
2002-02-03;8;0;13164.80
2002-02-03;10;0;13488.90
